city,companyFullName,companySize,education,positionName,salary,workYear
深圳, 腾讯科技（深圳）有限公司, 2000人以上, 本科, 研发效能开发工程师, 20k-40k, 3-5
杭州, 浙江数秦科技有限公司, 150-500人, 本科, python, 12k-20k, 3-5
北京, 北京智蓝云信科技有限公司, 150-500人, 大专, python, 12k-18k, 3-5
北京, 掌阅科技股份有限公司, 500-2000人, 本科, python, 25k-45k, 5-10
广州, 广州游爱网络技术有限公司, 500-2000人, 大专, Python, 7k-12k, 1-3
深圳, 心灵失重（北京）科技有限公司, 150-500人, 本科, Python, 15k-30k, 3-5
北京, 北京缔联科技有限公司, 50-150人, 本科, python, 20k-30k, 3-5
上海, 易宝软件科技（南京）有限公司, 150-500人, 大专, Python, 15k-20k, 3-5
上海, 威斯科技（苏州）有限公司, 50-150人, 本科, python, 25k-50k, 3-5
北京, 北京数美时代科技有限公司, 150-500人, 本科, python, 10k-20k, 应届毕业
宁波, 浙江乐檬信息技术有限公司, 50-150人, 本科, Python, 10k-15k, 3-5
北京, 北京酷我科技有限公司, 500-2000人, 本科, Python, 15k-25k, 1-3
北京, 北京生生科技有限公司, 150-500人, 不限, python, 15k-30k, 3-5
上海, 叽里呱啦文化传播（上海）有限公司, 150-500人, 本科, python开发工程师, 15k-30k, 1-3
上海, 叽里呱啦文化传播（上海）有限公司, 150-500人, 本科, 高级Python开发工程师, 20k-35k, 3-5
杭州, 浙江数秦科技有限公司, 150-500人, 本科, python, 12k-20k, 3-5
北京, 北京智蓝云信科技有限公司, 150-500人, 大专, python, 12k-18k, 3-5
北京, 掌阅科技股份有限公司, 500-2000人, 本科, python, 25k-45k, 5-10
广州, 广州游爱网络技术有限公司, 500-2000人, 大专, Python, 7k-12k, 1-3
深圳, 心灵失重（北京）科技有限公司, 150-500人, 本科, Python, 15k-30k, 3-5
北京, 北京数美时代科技有限公司, 150-500人, 本科, python, 10k-20k, 应届毕业
北京, 北京缔联科技有限公司, 50-150人, 本科, python, 20k-30k, 3-5
上海, 易宝软件科技（南京）有限公司, 150-500人, 大专, Python, 15k-20k, 3-5
上海, 威斯科技（苏州）有限公司, 50-150人, 本科, python, 25k-50k, 3-5
宁波, 浙江乐檬信息技术有限公司, 50-150人, 本科, Python, 10k-15k, 3-5
北京, 北京酷我科技有限公司, 500-2000人, 本科, Python, 15k-25k, 1-3
北京, 北京生生科技有限公司, 150-500人, 不限, python, 15k-30k, 3-5
上海, 叽里呱啦文化传播（上海）有限公司, 150-500人, 本科, python开发工程师, 15k-30k, 1-3
上海, 叽里呱啦文化传播（上海）有限公司, 150-500人, 本科, 高级Python开发工程师, 20k-35k, 3-5
杭州, 杭州涂鸦信息技术有限公司, 500-2000人, 本科, Python开发工程师, 20k-30k, 3-5
上海, 上海卿钊互联网科技有限公司, 少于15人, 不限, python, 1k-2k, 3-5
成都, 慧泽商通（北京）科技有限公司, 15-50人, 本科, python, 5k-10k, 1-3
深圳, 岩心科技（深圳）有限公司, 500-2000人, 本科, Python后端开发工程师(数据产品), 10k-18k, 1-3
深圳, 岩心科技（深圳）有限公司, 500-2000人, 本科, Python后台开发工程师(J10561), 15k-30k, 3-5
北京, 建信金融科技有限责任公司, 2000人以上, 本科, Python开发工程师, 25k-50k, 5-10
东莞, 华为技术有限公司, 2000人以上, 本科, python开发工程师, 15k-30k, 不
北京, 建信金融科技有限责任公司, 2000人以上, 本科, 高级Python开发工程师, 20k-40k, 3-5
深圳, 爱客科技（深圳）有限公司, 50-150人, 本科, 高级 Python 工程师, 25k-35k, 3-5
成都, 华为技术有限公司, 2000人以上, 不限, Java/Go/Python开发工程师, 20k-40k, 不
深圳, 深圳市梦网科技发展有限公司, 500-2000人, 本科, Python软件开发工程师-WL, 12k-20k, 1-3
北京, 武汉佰钧成技术有限责任公司, 2000人以上, 大专, python开发, 11k-20k, 3-5
北京, 成都西山居互动娱乐科技有限公司珠海分公司, 2000人以上, 本科, Python游戏研发, 15k-30k, 3-5
北京, 北京字节跳动科技有限公司, 2000人以上, 本科, python, 20k-40k, 不
广州, 广州迈步网络技术有限公司, 150-500人, 本科, Python开发工程师, 16k-28k, 3-5
上海, 安徽林飞信息技术有限公司, 50-150人, 本科, python后端, 25k-40k, 3-5
深圳, 深圳市一起乐乐网络科技有限公司, 15-50人, 本科, python工程师, 10k-15k, 1-3
广州, 广州迈步网络技术有限公司, 150-500人, 本科, Python开发工程师, 16k-28k, 3-5
成都, 成都必然科技有限公司, 少于15人, 本科, python爬虫, 10k-15k, 3-5
上海, 翼健（上海）信息科技有限公司, 50-150人, 本科, Python开发工程师, 12k-20k, 1-3
北京, 嘉实基金管理有限公司, 500-2000人, 本科, python开发工程师, 13k-19k, 不
广州, 奇虎360科技有限公司, 2000人以上, 本科, Python开发工程师, 20k-30k, 3-5
上海, 上海邻我信息技术有限公司, 15-50人, 不限, python实习, 2k-4k, 应届毕业
北京, 北京智学厚德科技有限公司, 50-150人, 大专, Python资深开发工程师, 20k-30k, 3-5
上海, 上海骞云信息科技有限公司, 50-150人, 本科, Python 开发工程师, 10k-18k, 1-3
广州, 西安贝业思数据智能技术服务有限公司, 15-50人, 本科, python开发工程师, 11k-18k, 1-3
北京, 北京优思安科技有限公司, 150-500人, 本科, Python高级讲师, 20k-40k, 3-5
深圳, 深圳虾皮信息科技有限公司, 2000人以上, 不限, Python数据工程师, 10k-20k, 不
深圳, 腾讯科技（深圳）有限公司, 2000人以上, 本科, python开发工程师, 20k-40k, 3-5
上海, 上海骞云信息科技有限公司, 50-150人, 本科, 高级Python开发工程师, 15k-30k, 3-5
成都, 四川隧唐科技股份有限公司, 50-150人, 本科, python爬虫工程师, 5k-8k, 1-3
深圳, 腾讯科技（深圳）有限公司, 2000人以上, 本科, python后台开发工程师（深圳/上海）, 15k-30k, 3-5
深圳, 腾讯科技（深圳）有限公司, 2000人以上, 本科, Python大数据工程师, 10k-15k, 1-3
深圳, 深圳星辰大海传媒有限公司, 50-150人, 大专, python爬虫, 12k-24k, 1-3
深圳, 深圳市客路网络科技有限公司, 500-2000人, 本科, Python工程师, 10k-20k, 1-3
北京, 广州维朗网络科技有限公司, 50-150人, 大专, Python开发工程师, 10k-20k, 3-5
广州, 广州小米加步枪网络科技有限公司, 15-50人, 大专, python后端开发工程师, 12k-18k, 应届毕业
长沙, 深信服科技股份有限公司, 2000人以上, 本科, python开发, 15k-22k, 1-3
杭州, 北京金道天成信息系统服务有限公司, 500-2000人, 本科, 云计算中间件-Java/python, 10k-17k, 3-5
北京, 北京石云科技有限公司, 50-150人, 本科, Python/ruby, 9k-18k, 应届毕业
深圳, 深圳市客路网络科技有限公司, 500-2000人, 本科, 高级Python工程师, 20k-35k, 3-5
北京, 北京闪灵未来科技有限公司, 15-50人, 硕士, 资深python系统开发工作师, 20k-28k, 3-5
北京, 北京世纪好未来教育科技有限公司, 2000人以上, 本科, 高级Python工程师, 20k-35k, 3-5
广州, 广州铂锐盛途科技有限公司, 50-150人, 大专, python 算法开发工程师, 10k-20k, 3-5
北京, 北京聚微合智信息技术有限公司, 50-150人, 本科, Python/ruby/, 9k-18k, 应届毕业
北京, 北京聚微合智信息技术有限公司, 50-150人, 本科, Java/python, 8k-16k, 应届毕业
